language_family,Subfamily,Language name,base_atom_order,rig_b_a_prob
3,Tungusic,Udihe,1,0.619293883023428
3,Tungusic,Udihe,1,0.5827930228718752
3,Tungusic,Udihe,1,0.6353894571505159
3,Tungusic,Udihe,1,0.5642326362057082
3,Tungusic,Udihe,1,0.5341673671186882
3,Tungusic,Udihe,1,0.5567750958596742
3,Turkic,Khorasani Turkish,1,0.6182807906289265
3,Turkic,Khorasani Turkish,1,0.635376406873617
3,Turkic,Khorasani Turkish,1,0.5415319698490739
3,Turkic,Khorasani Turkish,1,0.4935892696612557
3,Turkic,Khorasani Turkish,1,0.4866332052593956
3,Turkic,Khorasani Turkish,1,0.450208176458309
3,Turkic,Khorasani Turkish,1,0.4253784383119338
3,Turkic,Khorasani Turkish,1,0.4345122752599003
3,Turkic,Khorasani Turkish,1,0.6320760842561651
3,Turkic,Khorasani Turkish,1,0.6570306897376708
3,Turkic,Khorasani Turkish,1,0.5978388185240718
3,Turkic,Khorasani Turkish,1,0.5887707144521207
3,Turkic,Khorasani Turkish,1,0.5970684715384057
3,Turkic,Khorasani Turkish,1,0.5348762187638342
3,Turkic,Khorasani Turkish,1,0.508191297304782
3,Turkic,Khorasani Turkish,1,0.5354898323998667
3,Turkic,Khorasani Turkish,1,0.6438352442397728
3,Turkic,Khorasani Turkish,1,0.6614724123455965
3,Turkic,Khorasani Turkish,1,0.619293883023428
3,Turkic,Khorasani Turkish,1,0.5827930228718752
3,Turkic,Khorasani Turkish,1,0.6353894571505159
3,Turkic,Khorasani Turkish,1,0.5642326362057082
3,Turkic,Khorasani Turkish,1,0.5341673671186882
3,Turkic,Khorasani Turkish,1,0.5567750958596742
3,Turkic,Karachay-Balkar,1,0.6182807906289265
3,Turkic,Karachay-Balkar,1,0.635376406873617
3,Turkic,Karachay-Balkar,1,0.5415319698490739
3,Turkic,Karachay-Balkar,1,0.4935892696612557
3,Turkic,Karachay-Balkar,1,0.4866332052593956
3,Turkic,Karachay-Balkar,1,0.450208176458309
3,Turkic,Karachay-Balkar,1,0.4253784383119338
3,Turkic,Karachay-Balkar,1,0.4345122752599003
3,Turkic,Karachay-Balkar,1,0.6320760842561651
3,Turkic,Karachay-Balkar,1,0.6570306897376708
3,Turkic,Karachay-Balkar,1,0.5978388185240718
3,Turkic,Karachay-Balkar,1,0.5887707144521207
3,Turkic,Karachay-Balkar,1,0.5970684715384057
3,Turkic,Karachay-Balkar,1,0.5348762187638342
3,Turkic,Karachay-Balkar,1,0.508191297304782
3,Turkic,Karachay-Balkar,1,0.5354898323998667
3,Turkic,Karachay-Balkar,1,0.6438352442397728
3,Turkic,Karachay-Balkar,1,0.6614724123455965
3,Turkic,Karachay-Balkar,1,0.619293883023428
3,Turkic,Karachay-Balkar,1,0.5827930228718752
3,Turkic,Karachay-Balkar,1,0.6353894571505159
3,Turkic,Karachay-Balkar,1,0.5642326362057082
3,Turkic,Karachay-Balkar,1,0.5341673671186882
3,Turkic,Karachay-Balkar,1,0.5567750958596742
3,Tungusic,Orogen,1,0.6182807906289265
3,Tungusic,Orogen,1,0.635376406873617
3,Tungusic,Orogen,1,0.5415319698490739
3,Tungusic,Orogen,1,0.4935892696612557
3,Tungusic,Orogen,1,0.4866332052593956
3,Tungusic,Orogen,1,0.450208176458309
3,Tungusic,Orogen,1,0.4253784383119338
3,Tungusic,Orogen,1,0.4345122752599003
3,Tungusic,Orogen,1,0.6320760842561651
3,Tungusic,Orogen,1,0.6570306897376708
3,Tungusic,Orogen,1,0.5978388185240718
